TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-26T14:28:20.209994;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:28:24.785740;01;;0;Submit Clicked;3;n;;;;
2017-09-26T14:28:26.099567;01;;0;Submit Clicked;3;n;;;;
2017-09-26T14:28:26.099814;01;;0;Run Clicked;3;n;;;;
2017-09-26T14:28:26.139025;01;3;1;Sequence Generated;3;Flock North;63.432583;VALID;INCOMPLETE;
2017-09-26T14:28:31.249925;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:28:32.210878;;;;Add button clicked! Item is Flocking;;;;;;
2017-09-26T14:28:35.546949;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-26T14:28:36.803051;;;;Delete button clicked! Item is Flocking;;;;;;
2017-09-26T14:28:37.442113;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:28:38.131007;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:28:39.611229;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:28:40.962777;;;;Add button clicked! Item is Flocking;;;;;;
2017-09-26T14:28:41.834152;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:28:48.489880;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:28:51.102995;01;;1;Submit Clicked;3,5,11;n,r,i;;;;
2017-09-26T14:28:52.276151;01;;1;Submit Clicked;3,5,11;n,r,i;;;;
2017-09-26T14:28:52.276535;01;;1;Run Clicked;3,5,11;n,r,i;;;;
2017-09-26T14:28:52.314528;01;3;2;Sequence Generated;3,5,11;Flock North->Rendezvous->Flocking;180.432861;VALID;INCOMPLETE;
2017-09-26T14:29:05.371366;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-26T14:29:06.130076;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:29:07.051234;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:29:09.691707;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-26T14:29:14.654877;01;;2;Submit Clicked;3,5,11,14;n,r,i,r;;;;
2017-09-26T14:29:15.741820;01;;2;Submit Clicked;3,5,11,14;n,r,i,r;;;;
2017-09-26T14:29:15.742148;01;;2;Run Clicked;3,5,11,14;n,r,i,r;;;;
2017-09-26T14:29:15.773007;01;3;3;Sequence Generated;3,5,11,14;Flock North->Rendezvous->Flocking->Rendezvous;232.253174;VALID;INCOMPLETE;
2017-09-26T14:29:23.634200;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-09-26T14:29:26.075763;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:29:28.707437;;;;Add button clicked! Item is Flocking;;;;;;
2017-09-26T14:29:29.633899;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-09-26T14:29:32.545915;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:29:38.465989;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-09-26T14:29:39.195737;;;;Sequence table clicked! Item is Duration for (row,col) (5,1);;;;;;
2017-09-26T14:29:39.809999;;;;Sequence table clicked! Item is Duration for (row,col) (6,1);;;;;;
2017-09-26T14:29:41.275255;;;;Sequence table clicked! Item is ;;;;;;
2017-09-26T14:29:42.577564;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:29:43.578173;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:29:44.579319;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:29:45.243403;;;;Sequence table clicked! Item is ;;;;;;
2017-09-26T14:29:46.769970;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:29:48.018882;;;;Add button clicked! Item is Flocking;;;;;;
2017-09-26T14:29:48.905926;01;;3;Submit Clicked;3,5,8,11,14,17,20;n,r,i,r,i,r,i;;;;
