TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-30T14:40:06.768984;17;0;19;Sequence Generated;2,7,13,16;Flock West->Flock North->Flock East->Rendezvous;484.983215;VALID;COMPLETE;
2017-09-30T14:41:10.007268;;;;Sequence table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:41:15.111076;;;;Sequence table clicked! Item is Flock West;;;;;;
2017-09-30T14:41:16.279845;;;;Delete button clicked! Item is Flock West;;;;;;
2017-09-30T14:41:16.464063;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-30T14:41:16.647917;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-30T14:41:16.832224;;;;Delete button clicked! Item is Rendezvous;;;;;;
2017-09-30T14:41:23.801388;17;;19;Submit Clicked;2,7,13,16;;;;;
2017-09-30T14:41:29.265257;17;;19;Submit Clicked;2,7,13,16;;;;;
2017-09-30T14:41:29.265539;17;;19;Run Clicked;2,7,13,16;;;;;
2017-09-30T14:41:34.385232;17;0;20;Sequence Generated;2,7,13,16;Flock West->Flock North->Flock East->Flock South;451.984680;VALID;COMPLETE;
2017-09-30T14:41:40.879475;;;;Sequence table clicked! Item is Flock South;;;;;;
2017-09-30T14:41:42.048282;;;;Delete button clicked! Item is Flock South;;;;;;
2017-09-30T14:41:42.759303;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:41:45.919287;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:41:49.487540;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:41:51.089323;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-30T14:41:51.975218;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-30T14:41:52.824169;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-30T14:41:53.551125;;;;Sequence table clicked! Item is Flock West;;;;;;
2017-09-30T14:41:54.224138;;;;Delete button clicked! Item is Flock West;;;;;;
2017-09-30T14:41:56.567279;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:41:57.320427;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-30T14:41:58.535310;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:41:59.087156;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:41:59.527307;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:42:01.149427;17;;20;Submit Clicked;5,10,16;e;;;;
2017-09-30T14:42:02.472853;17;;20;Submit Clicked;5,10,16;e;;;;
2017-09-30T14:42:02.473249;17;;20;Run Clicked;5,10,16;e;;;;
2017-09-30T14:42:06.544846;17;0;21;Sequence Generated;5,10,16;Flock East->Flocking->Flock North;428.425934;VALID;INCOMPLETE;
2017-09-30T14:42:24.543111;;;;Sequence table clicked! Item is Duration for (row,col) (5,1);;;;;;
2017-09-30T14:42:24.895099;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:42:25.838848;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:42:26.335287;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:42:26.879287;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:42:27.375335;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-09-30T14:42:27.775351;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:42:28.214973;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:42:28.656205;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:42:29.503340;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-09-30T14:42:29.911159;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:42:31.087280;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:42:31.759415;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:42:32.406941;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:42:32.903358;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:42:33.383124;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-09-30T14:42:34.159156;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:42:36.480262;17;;;Next Clicked;;;;;;
2017-09-30T14:42:43.991330;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:42:48.703414;;;;Sequence table clicked! Item is ;;;;;;
