TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-27T15:12:59.964636;5;;6;Submit Clicked;2,6,9,15,19,23,33,38,46;n,r,w,r,r,i,n,r;;;
2017-09-27T15:12:59.964944;5;;6;Run Clicked;2,6,9,15,19,23,33,38,46;n,r,w,r,r,i,n,r;;;
2017-09-27T15:13:00.027655;5;9;7;Sequence Generated;2,6,9,15,19,23,33,38,46;Flock North->Rendezvous->Flock West->Rendezvous->Rendezvous->Flocking->Flock North->Rendezvous;100000;INVALID;INCOMPLETE
2017-09-27T15:13:01.253549;5;;7;Submit Clicked;2,6,9,15,19,23,33,38,46;n,r,w,r,r,i,n,r;;;
2017-09-27T15:13:01.253930;5;;7;Run Clicked;2,6,9,15,19,23,33,38,46;n,r,w,r,r,i,n,r;;;
2017-09-27T15:13:02.076412;5;9;8;Sequence Generated;2,6,9,15,19,23,33,38,46;Flock North->Rendezvous->Flock West->Rendezvous->Rendezvous->Flocking->Flock North->Rendezvous;100000;INVALID;INCOMPLETE
2017-09-27T15:13:13.000730;;;;Sequence table clicked! Item is Flock West;;;;;
2017-09-27T15:13:14.968787;;;;Sequence table clicked! Item is Rendezvous;;;;;
2017-09-27T15:13:16.665669;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:13:17.065408;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:13:18.276819;5;;8;Submit Clicked;2,6,9,15,19,23,33,38,46;n,r,w,i,n,r;;;
2017-09-27T15:13:19.049173;5;;8;Submit Clicked;2,6,9,15,19,23,33,38,46;n,r,w,i,n,r;;;
2017-09-27T15:13:19.049273;5;;8;Run Clicked;2,6,9,15,19,23,33,38,46;n,r,w,i,n,r;;;
2017-09-27T15:13:19.100946;5;9;9;Sequence Generated;2,6,9,15,19,23,33,38,46;Flock North->Rendezvous->Flock West->Flocking->Flock North->Rendezvous;100000;INVALID;INCOMPLETE
2017-09-27T15:13:28.640114;;;;Sequence table clicked! Item is Flock West;;;;;
2017-09-27T15:13:30.377055;;;;Delete button clicked! Item is Flock West;;;;;
2017-09-27T15:13:31.680880;;;;Delete button clicked! Item is Flocking;;;;;
2017-09-27T15:13:31.865295;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-27T15:13:32.384785;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:13:34.968056;;;;Behavior table clicked! Item is Flock West;;;;;
2017-09-27T15:13:37.016876;;;;Add button clicked! Item is Flock West;;;;;
2017-09-27T15:13:39.679794;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:13:42.015877;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-27T15:13:42.881218;;;;Add button clicked! Item is Flock North;;;;;
2017-09-27T15:13:43.886817;5;;9;Submit Clicked;2,6,9,15,19,23,33,38,46;n,r,w,n;;;
2017-09-27T15:13:45.330923;5;;9;Submit Clicked;2,6,9,15,19,23,33,38,46;n,r,w,n;;;
2017-09-27T15:13:45.331265;5;;9;Run Clicked;2,6,9,15,19,23,33,38,46;n,r,w,n;;;
2017-09-27T15:13:45.383061;5;9;10;Sequence Generated;2,6,9,15,19,23,33,38,46;Flock North->Rendezvous->Flock West->Flock North;100000;INVALID;INCOMPLETE
2017-09-27T15:13:53.175721;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-27T15:13:55.736395;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-27T15:13:56.399726;;;;Behavior table clicked! Item is Flocking;;;;;
2017-09-27T15:13:57.503654;;;;Behavior table clicked! Item is Rendezvous;;;;;
2017-09-27T15:13:58.368279;;;;Add button clicked! Item is Rendezvous;;;;;
2017-09-27T15:13:59.695394;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-27T15:14:01.311263;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:14:02.015192;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-27T15:14:04.735410;;;;Sequence table clicked! Item is 6;;;;;
2017-09-27T15:14:05.103416;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;
2017-09-27T15:14:09.615301;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:14:10.647293;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-27T15:14:11.287967;;;;Add button clicked! Item is Flock North;;;;;
2017-09-27T15:14:11.953538;5;;10;Submit Clicked;2,6,9,13,23,27,37,42,50;n,r,w,r,n;;;
2017-09-27T15:14:12.642067;5;;10;Submit Clicked;2,6,9,13,23,27,37,42,50;n,r,w,r,n;;;
2017-09-27T15:14:12.642397;5;;10;Run Clicked;2,6,9,13,23,27,37,42,50;n,r,w,r,n;;;
2017-09-27T15:14:12.703719;5;9;11;Sequence Generated;2,6,9,13,23,27,37,42,50;Flock North->Rendezvous->Flock West->Rendezvous->Flock North;100000;INVALID;INCOMPLETE
2017-09-27T15:14:20.286983;;;;Sequence table clicked! Item is Rendezvous;;;;;
2017-09-27T15:14:22.191834;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:14:22.359971;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-27T15:14:27.910812;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-27T15:14:28.839504;;;;Add button clicked! Item is Flock North;;;;;
2017-09-27T15:14:29.534524;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-27T15:14:31.431831;5;;11;Submit Clicked;2,6,9,16,26,30,40,45,53;n,r,w,n;;;
2017-09-27T15:14:32.873593;5;;11;Submit Clicked;2,6,9,16,26,30,40,45,53;n,r,w,n;;;
2017-09-27T15:14:32.874020;5;;11;Run Clicked;2,6,9,16,26,30,40,45,53;n,r,w,n;;;
2017-09-27T15:14:32.933487;5;9;12;Sequence Generated;2,6,9,16,26,30,40,45,53;Flock North->Rendezvous->Flock West->Flock North;100000;INVALID;INCOMPLETE
2017-09-27T15:14:35.974606;5;;;Next Clicked;;;;;
2017-09-27T15:14:39.918576;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-27T15:14:41.270389;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-27T15:14:41.790491;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;
2017-09-27T15:14:42.270485;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-27T15:14:42.822326;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;
